"id","url","notes","scientific_name","common_name","description","user_login","observed_on","license","family_name","adm0_a3","continent"
4480906,"http://www.inaturalist.org/observations/4480906","","Lasiurus borealis","Eastern Red Bat","On sidewalk next to office building w/ large windows.  Unknown if alive -- I did not try to disturb.  A herring gull showed great interest in it.","schoenitz","2016-11-02","CC0","Vespertilionidae","USA","North America"
12539414,"https://www.inaturalist.org/observations/12539414","","Lasiurus borealis","Eastern Red Bat","West side of East building at the Baltimore convention center facing Sharp Street","jtmerryman","2018-05-17","CC-BY-NC","Vespertilionidae","USA","North America"
22290554,"https://www.inaturalist.org/observations/22290554","","Lasiurus borealis","Eastern Red Bat","window strike","schoenitz","2019-04-10","CC0","Vespertilionidae","USA","North America"
22889158,"https://www.inaturalist.org/observations/22889158","","Lasiurus borealis","Eastern Red Bat","","aaron_fool","2019-04-21","CC-BY-NC","Vespertilionidae","USA","North America"
24611454,"https://www.inaturalist.org/observations/24611454","","Eptesicus fuscus","Big Brown Bat","Was on ground at base of window. Ears were moving. As soon as I tried to scoop up with net, bat was able to spread wings and fly off to Arbor Vitae trees","winature","2019-05-05","CC-BY-NC","Vespertilionidae","USA","North America"
25351322,"https://www.inaturalist.org/observations/25351322","at base of building","Lasiurus borealis","Eastern Red Bat","","briantinker","2019-04-21","CC-BY-NC","Vespertilionidae","USA","North America"
25351331,"https://www.inaturalist.org/observations/25351331","grounded","Lasionycteris noctivagans","Silver-haired Bat","","briantinker","2018-10-06","CC-BY-NC","Vespertilionidae","USA","North America"
25351339,"https://www.inaturalist.org/observations/25351339","covered in dew","Lasionycteris noctivagans","Silver-haired Bat","","briantinker","2017-11-05","CC-BY-NC","Vespertilionidae","USA","North America"
25384316,"https://www.inaturalist.org/observations/25384316","clinging low on building; tagged with ""Lights out cleveland""","Lasiurus borealis","Eastern Red Bat","","briantinker","2019-05-19","CC-BY-NC","Vespertilionidae","USA","North America"
25666109,"https://www.inaturalist.org/observations/25666109","","Lasiurus borealis","Eastern Red Bat","Bank of america east facing window, dead. Alcove by the revolving door. ","cdools11","2019-05-24","CC-BY-NC","Vespertilionidae","USA","North America"
31464831,"https://www.inaturalist.org/observations/31464831","","Lasiurus borealis","Eastern Red Bat","","briantinker","2019-08-25","CC-BY-NC","Vespertilionidae","USA","North America"
32016717,"https://www.inaturalist.org/observations/32016717","","Lasiurus borealis","Eastern Red Bat","","briantinker","43710","CC-BY-NC","Vespertilionidae","USA","North America"
32864568,"https://www.inaturalist.org/observations/32864568","","Vespertilionidae","Evening Bats","Potentially a window strike (at the base of a huge window that kills a lot of birds). It took off and flew away shortly after I took the photo.","teresap","2019-09-05","CC-BY-NC","Vespertilionidae","USA","North America"
33304303,"https://www.inaturalist.org/observations/33304303","","Lasiurus borealis","Eastern Red Bat","Window collision rescue, N window","birddad","43732","CC-BY-NC","Vespertilionidae","USA","North America"
35061860,"https://www.inaturalist.org/observations/35061860","","Tadarida brasiliensis","Mexican Free-tailed Bat","Deceased Bat (from window strike) found on the sidewalk on the east side of the building at 611 S. Congress Ave., Austin, TX","birdiewhite","43767","CC-BY-NC","Molossidae","USA","North America"
35638291,"https://www.inaturalist.org/observations/35638291","","Lasiurus borealis","Eastern Red Bat","1 W Pratt, Sharp St alcove, W window collision rescue","birddad","43782","CC-BY-NC","Vespertilionidae","USA","North America"
35638341,"https://www.inaturalist.org/observations/35638341","Next to woodcock","Lasiurus borealis","Eastern Red Bat","101 W Lombard, lower level stairwell, NW corner, N window collision rescue","birddad","43782","CC-BY-NC","Vespertilionidae","USA","North America"
37226037,"https://www.inaturalist.org/observations/37226037","","Lasiurus borealis","Eastern Red Bat","","aaron_fool","43832","CC-BY-NC","Vespertilionidae","USA","North America"
37672214,"https://www.inaturalist.org/observations/37672214","","Lasionycteris noctivagans","Silver-haired Bat","","Bird-window collision Umbrella","43846","CC-BY-NC","Vespertilionidae","USA","North America"
59667152,"https://www.inaturalist.org/observations/59667152","","Eptesicus fuscus","Big Brown Bat","","Bird-window collision Umbrella","44089","CC-BY-NC","Vespertilionidae","USA","North America"
60851757,"https://www.inaturalist.org/observations/60851757","","Lasionycteris noctivagans","Silver-haired Bat","","briantinker","44100","CC-BY-NC","Vespertilionidae","USA","North America"
61801913,"https://www.inaturalist.org/observations/61801913","","Choeronycteris mexicana","Long-tongued Bat","Apparent window strike.","nickpulcinella","2020-09-28","CC-BY-NC","Phyllostomidae","USA","North America"
63020899,"https://www.inaturalist.org/observations/63020899","","Nycticeius humeralis","Evening Bat","About 3â€ in length. Found during Lights Out bird collision survey. Bat was on sidewalk, panting and pressed up against the wall. Team corralled it into bag (it crawled in) and bat was taken to rehabilitation. Bat was periodically making sounds and clicks from inside the bag.","jumiang","44117","CC-BY-NC","Vespertilionidae","USA","North America"
64033686,"https://www.inaturalist.org/observations/64033686","","Lasiurus borealis","Eastern Red Bat","Live rescue","aaron_fool","44137","CC-BY-NC","Vespertilionidae","USA","North America"
64033711,"https://www.inaturalist.org/observations/64033711","","Lasiurus borealis","Eastern Red Bat","Live rescue","aaron_fool","44137","CC-BY-NC","Vespertilionidae","USA","North America"
64169263,"https://www.inaturalist.org/observations/64169263","","Lasiurus borealis","Eastern Red Bat","Live rescue","aaron_fool","44139","CC-BY-NC","Vespertilionidae","USA","North America"
64172244,"https://www.inaturalist.org/observations/64172244","","Lasiurus borealis","Eastern Red Bat","","aaron_fool","44139","CC-BY-NC","Vespertilionidae","USA","North America"
64232706,"https://www.inaturalist.org/observations/64232706","","Lasiurus borealis","Eastern Red Bat","100 South Charles St. courtyard main entrance above the revolving door","jtmerryman","44140","CC-BY-NC","Vespertilionidae","USA","North America"
64289240,"https://www.inaturalist.org/observations/64289240","","Lasionycteris noctivagans","Silver-haired Bat","","Bird-window collision Umbrella","44141","CC-BY-NC","Vespertilionidae","USA","North America"
72985801,"https://www.inaturalist.org/observations/72985801","","Vespertilionidae","Evening Bats","","v416srz","44291","CC-BY-NC","Vespertilionidae","CHN","Asia"
73336439,"https://www.inaturalist.org/observations/73336439","","Lasiurus borealis","Eastern Red Bat","Live rescue","aaron_fool","44294","CC-BY-NC","Vespertilionidae","USA","North America"
73336519,"https://www.inaturalist.org/observations/73336519","","Lasiurus borealis","Eastern Red Bat","Live rescue that happily flapped away on its own","aaron_fool","44294","CC-BY-NC","Vespertilionidae","USA","North America"
73502704,"https://www.inaturalist.org/observations/73502704","","Lasiurus borealis","Eastern Red Bat","","lindsayjacks","44296","CC-BY-NC","Vespertilionidae","USA","North America"
74234125,"https://www.inaturalist.org/observations/74234125","","Lasiurus borealis","Eastern Red Bat","36 degrees F, cold, was able to safely move alive bat to nearby tree in sun. Saw it fly off after 30 minutes on tree and attempt to relocate to more secluded area","winature","44303","CC-BY-NC","Vespertilionidae","USA","North America"
74498505,"https://www.inaturalist.org/observations/74498505","","Lasiurus borealis","Eastern Red Bat","Very small bat... possibly an eastern red bat but not definiteâ€¦ Found at Eastern main entrance of the Baltimore convention Center","jtmerryman","44305","CC-BY-NC","Vespertilionidae","USA","North America"
76907807,"https://www.inaturalist.org/observations/76907807","","Lasiurus borealis","Eastern Red Bat","Helped from being grounded and flew off","aaron_fool","44319","CC-BY-NC","Vespertilionidae","USA","North America"
78560747,"https://www.inaturalist.org/observations/78560747","","Lasiurus borealis","Eastern Red Bat","","aaron_fool","44329","CC-BY-NC","Vespertilionidae","USA","North America"
79158828,"https://www.inaturalist.org/observations/79158828","","Eptesicus fuscus","Big Brown Bat","","fkulzer","2021-05-12","CC-BY-NC","Vespertilionidae","USA","North America"
80122599,"https://www.inaturalist.org/observations/80122599","","Lasiurus borealis","Eastern Red Bat","Found stunned on sidewalk about a foot from building.  When finder returned to try to get the bat into a box the bat flew away.","cjpope","44340","CC-BY-NC","Vespertilionidae","USA","North America"
80356711,"https://www.inaturalist.org/observations/80356711","","Lasiurus borealis","Eastern Red Bat","likely window collision? Brookfield Place. 

(did not touch bat -- covered with aerated container while wearing gloves. transferred bat to bat rehabber.)","cmcrae","44341","CC-BY-NC","Vespertilionidae",NA,NA
