month_start,n_effort,cell_id
2019-01-01,3076,21
2019-02-01,4849,21
2019-03-01,7329,21
2019-04-01,3375,21
2019-05-01,2351,21
2019-06-01,3242,21
2019-07-01,2495,21
2019-08-01,2353,21
2019-09-01,1634,21
2019-10-01,1674,21
2019-11-01,2032,21
2019-12-01,3546,21
2020-01-01,5264,21
2020-02-01,6805,21
2020-03-01,4044,21
2020-04-01,4538,21
2020-05-01,1770,21
2020-06-01,2364,21
2020-07-01,1271,21
2020-08-01,1384,21
2020-09-01,1336,21
2020-10-01,1546,21
2020-11-01,1668,21
2020-12-01,6472,21
2021-01-01,6139,21
2021-02-01,1939,21
2021-03-01,1754,21
2021-04-01,2432,21
2021-05-01,3839,21
2021-06-01,2741,21
2021-07-01,4345,21
2021-08-01,3436,21
2021-09-01,2152,21
2021-10-01,3923,21
2021-11-01,6678,21
2021-12-01,5004,21
2022-01-01,7073,21
2022-02-01,13240,21
2022-03-01,7868,21
2022-04-01,6912,21
2022-05-01,5429,21
2022-06-01,5257,21
2022-07-01,6522,21
2022-08-01,4058,21
2022-09-01,3862,21
2022-10-01,4499,21
2022-11-01,12035,21
2022-12-01,5613,21
2023-01-01,9736,21
2023-02-01,8931,21
2023-03-01,9613,21
2023-04-01,4847,21
2023-05-01,5538,21
2023-06-01,4563,21
2023-07-01,5283,21
2023-08-01,5093,21
2023-09-01,3409,21
2023-10-01,3993,21
2023-11-01,5716,21
2023-12-01,7662,21
2024-01-01,10989,21
2024-02-01,17453,21
2024-03-01,13080,21
2024-04-01,8906,21
2024-05-01,7611,21
2024-06-01,8793,21
2024-07-01,9391,21
2024-08-01,9222,21
2024-09-01,6191,21
2024-10-01,6870,21
2024-11-01,10491,21
2024-12-01,10812,21
2025-01-01,15204,21
2025-02-01,16055,21
2025-03-01,15740,21
2025-04-01,10797,21
2025-05-01,16883,21
2025-06-01,11073,21
2025-07-01,16460,21
2025-08-01,11271,21
2025-09-01,7615,21
2025-10-01,8945,21
2025-11-01,11042,21
2025-12-01,11300,21
2019-01-01,132,22
2019-02-01,251,22
2019-03-01,158,22
2019-04-01,252,22
2019-05-01,278,22
2019-06-01,222,22
2019-07-01,340,22
2019-08-01,155,22
2019-09-01,203,22
2019-10-01,242,22
2019-11-01,194,22
2019-12-01,153,22
2020-01-01,269,22
2020-02-01,308,22
2020-03-01,338,22
2020-04-01,3020,22
2020-05-01,863,22
2020-06-01,918,22
2020-07-01,307,22
2020-08-01,246,22
2020-09-01,217,22
2020-10-01,304,22
2020-11-01,211,22
2020-12-01,442,22
2021-01-01,261,22
2021-02-01,342,22
2021-03-01,228,22
2021-04-01,738,22
2021-05-01,1846,22
2021-06-01,339,22
2021-07-01,210,22
2021-08-01,203,22
2021-09-01,197,22
2021-10-01,395,22
2021-11-01,3280,22
2021-12-01,292,22
2022-01-01,391,22
2022-02-01,478,22
2022-03-01,410,22
2022-04-01,1040,22
2022-05-01,1542,22
2022-06-01,594,22
2022-07-01,434,22
2022-08-01,354,22
2022-09-01,644,22
2022-10-01,382,22
2022-11-01,7362,22
2022-12-01,406,22
2023-01-01,564,22
2023-02-01,660,22
2023-03-01,795,22
2023-04-01,344,22
2023-05-01,559,22
2023-06-01,556,22
2023-07-01,494,22
2023-08-01,555,22
2023-09-01,818,22
2023-10-01,892,22
2023-11-01,350,22
2023-12-01,6352,22
2024-01-01,534,22
2024-02-01,989,22
2024-03-01,848,22
2024-04-01,191,22
2024-05-01,374,22
2024-06-01,512,22
2024-07-01,709,22
2024-08-01,1361,22
2024-09-01,844,22
2024-10-01,986,22
2024-11-01,9650,22
2024-12-01,1549,22
2025-01-01,742,22
2025-02-01,878,22
2025-03-01,1097,22
2025-04-01,702,22
2025-05-01,718,22
2025-06-01,352,22
2025-07-01,329,22
2025-08-01,430,22
2025-09-01,528,22
2025-10-01,1118,22
2025-11-01,15661,22
2025-12-01,840,22
2019-01-01,2369,148
2019-02-01,2150,148
2019-03-01,3201,148
2019-04-01,8556,148
2019-05-01,4006,148
2019-06-01,4890,148
2019-07-01,6317,148
2019-08-01,5682,148
2019-09-01,6334,148
2019-10-01,6322,148
2019-11-01,4862,148
2019-12-01,3913,148
2020-01-01,3882,148
2020-02-01,3797,148
2020-03-01,3879,148
2020-04-01,4840,148
2020-05-01,6458,148
2020-06-01,6653,148
2020-07-01,7596,148
2020-08-01,7997,148
2020-09-01,8149,148
2020-10-01,7905,148
2020-11-01,6551,148
2020-12-01,5282,148
2021-01-01,6128,148
2021-02-01,5483,148
2021-03-01,7512,148
2021-04-01,8838,148
2021-05-01,13129,148
2021-06-01,10134,148
2021-07-01,10780,148
2021-08-01,9384,148
2021-09-01,8941,148
2021-10-01,11092,148
2021-11-01,6613,148
2021-12-01,5610,148
2022-01-01,5625,148
2022-02-01,5422,148
2022-03-01,6716,148
2022-04-01,11733,148
2022-05-01,11756,148
2022-06-01,10705,148
2022-07-01,11508,148
2022-08-01,9942,148
2022-09-01,10910,148
2022-10-01,13276,148
2022-11-01,8337,148
2022-12-01,7795,148
2023-01-01,5974,148
2023-02-01,6339,148
2023-03-01,7233,148
2023-04-01,13813,148
2023-05-01,11787,148
2023-06-01,9651,148
2023-07-01,10161,148
2023-08-01,10778,148
2023-09-01,10095,148
2023-10-01,14632,148
2023-11-01,8957,148
2023-12-01,7626,148
2024-01-01,7285,148
2024-02-01,6736,148
2024-03-01,7894,148
2024-04-01,18949,148
2024-05-01,10238,148
2024-06-01,10854,148
2024-07-01,10335,148
2024-08-01,11983,148
2024-09-01,18061,148
2024-10-01,23530,148
2024-11-01,11870,148
2024-12-01,7977,148
2025-01-01,7789,148
2025-02-01,8762,148
2025-03-01,9410,148
2025-04-01,19940,148
2025-05-01,10988,148
2025-06-01,14485,148
2025-07-01,16795,148
2025-08-01,15285,148
2025-09-01,17750,148
2025-10-01,23874,148
2025-11-01,12728,148
2025-12-01,10952,148
2019-01-01,998,149
2019-02-01,1011,149
2019-03-01,969,149
2019-04-01,2391,149
2019-05-01,1500,149
2019-06-01,2301,149
2019-07-01,2350,149
2019-08-01,2139,149
2019-09-01,1996,149
2019-10-01,2424,149
2019-11-01,1887,149
2019-12-01,1576,149
2020-01-01,1655,149
2020-02-01,1741,149
2020-03-01,1507,149
2020-04-01,2205,149
2020-05-01,3161,149
2020-06-01,2304,149
2020-07-01,2936,149
2020-08-01,2807,149
2020-09-01,2894,149
2020-10-01,3245,149
2020-11-01,2083,149
2020-12-01,1654,149
2021-01-01,1624,149
2021-02-01,1224,149
2021-03-01,2194,149
2021-04-01,2743,149
2021-05-01,3336,149
2021-06-01,2627,149
2021-07-01,4283,149
2021-08-01,3086,149
2021-09-01,2781,149
2021-10-01,3573,149
2021-11-01,1898,149
2021-12-01,1981,149
2022-01-01,1804,149
2022-02-01,1230,149
2022-03-01,1676,149
2022-04-01,2220,149
2022-05-01,2365,149
2022-06-01,2517,149
2022-07-01,3962,149
2022-08-01,3703,149
2022-09-01,4403,149
2022-10-01,4364,149
2022-11-01,3534,149
2022-12-01,1879,149
2023-01-01,1664,149
2023-02-01,1508,149
2023-03-01,1598,149
2023-04-01,2911,149
2023-05-01,2808,149
2023-06-01,2871,149
2023-07-01,3273,149
2023-08-01,3445,149
2023-09-01,3112,149
2023-10-01,4496,149
2023-11-01,2757,149
2023-12-01,1452,149
2024-01-01,1628,149
2024-02-01,1570,149
2024-03-01,1963,149
2024-04-01,2396,149
2024-05-01,3024,149
2024-06-01,2455,149
2024-07-01,3466,149
2024-08-01,2903,149
2024-09-01,4925,149
2024-10-01,4593,149
2024-11-01,3732,149
2024-12-01,2479,149
2025-01-01,1655,149
2025-02-01,1886,149
2025-03-01,3046,149
2025-04-01,2616,149
2025-05-01,2431,149
2025-06-01,2750,149
2025-07-01,3301,149
2025-08-01,3726,149
2025-09-01,2913,149
2025-10-01,4686,149
2025-11-01,3611,149
2025-12-01,2492,149
2019-01-01,93,154
2019-02-01,95,154
2019-03-01,934,154
2019-04-01,114,154
2019-05-01,53,154
2019-06-01,34,154
2019-07-01,209,154
2019-08-01,59,154
2019-09-01,53,154
2019-10-01,148,154
2019-11-01,210,154
2019-12-01,359,154
2020-01-01,179,154
2020-02-01,71,154
2020-03-01,41,154
2020-04-01,20,154
2020-05-01,27,154
2020-06-01,43,154
2020-07-01,51,154
2020-08-01,38,154
2020-09-01,104,154
2020-10-01,33,154
2020-11-01,13,154
2020-12-01,57,154
2021-01-01,37,154
2021-02-01,149,154
2021-03-01,126,154
2021-04-01,97,154
2021-05-01,85,154
2021-06-01,64,154
2021-07-01,193,154
2021-08-01,73,154
2021-09-01,42,154
2021-10-01,91,154
2021-11-01,80,154
2021-12-01,228,154
2022-01-01,187,154
2022-02-01,175,154
2022-03-01,240,154
2022-04-01,206,154
2022-05-01,145,154
2022-06-01,161,154
2022-07-01,289,154
2022-08-01,153,154
2022-09-01,232,154
2022-10-01,92,154
2022-11-01,164,154
2022-12-01,218,154
2023-01-01,407,154
2023-02-01,258,154
2023-03-01,396,154
2023-04-01,497,154
2023-05-01,1095,154
2023-06-01,241,154
2023-07-01,194,154
2023-08-01,151,154
2023-09-01,281,154
2023-10-01,253,154
2023-11-01,301,154
2023-12-01,321,154
2024-01-01,323,154
2024-02-01,623,154
2024-03-01,323,154
2024-04-01,227,154
2024-05-01,595,154
2024-06-01,150,154
2024-07-01,207,154
2024-08-01,340,154
2024-09-01,429,154
2024-10-01,336,154
2024-11-01,220,154
2024-12-01,423,154
2025-01-01,388,154
2025-02-01,631,154
2025-03-01,575,154
2025-04-01,208,154
2025-05-01,610,154
2025-06-01,317,154
2025-07-01,155,154
2025-08-01,173,154
2025-09-01,1013,154
2025-10-01,119,154
2025-11-01,219,154
2025-12-01,382,154
2019-01-01,496,175
2019-02-01,672,175
2019-03-01,907,175
2019-04-01,1412,175
2019-05-01,1146,175
2019-06-01,1370,175
2019-07-01,1956,175
2019-08-01,1403,175
2019-09-01,1646,175
2019-10-01,1944,175
2019-11-01,1656,175
2019-12-01,566,175
2020-01-01,747,175
2020-02-01,671,175
2020-03-01,1324,175
2020-04-01,1361,175
2020-05-01,1500,175
2020-06-01,1729,175
2020-07-01,2901,175
2020-08-01,2353,175
2020-09-01,3096,175
2020-10-01,2776,175
2020-11-01,2265,175
2020-12-01,1970,175
2021-01-01,2363,175
2021-02-01,1989,175
2021-03-01,2671,175
2021-04-01,2628,175
2021-05-01,3414,175
2021-06-01,3523,175
2021-07-01,4100,175
2021-08-01,4126,175
2021-09-01,3285,175
2021-10-01,4587,175
2021-11-01,3285,175
2021-12-01,2959,175
2022-01-01,1713,175
2022-02-01,1282,175
2022-03-01,2168,175
2022-04-01,2083,175
2022-05-01,2067,175
2022-06-01,1735,175
2022-07-01,2211,175
2022-08-01,2432,175
2022-09-01,1788,175
2022-10-01,2342,175
2022-11-01,2037,175
2022-12-01,1963,175
2023-01-01,1634,175
2023-02-01,1329,175
2023-03-01,1778,175
