"record_set","n","how_it_is_defined"
"All retained records",226,"CJ.manual.check == 'y', all continents / years"
"United States",191,"by country (admin == USA), after coastal fix"
"Canada",15,"by country (admin == Canada)"
"Mexico",3,"by country (admin == Mexico)"
"North America (continent)",210,"step 1: continent == 'North America' (incl. Central America)"
".. coordinates not hidden",207,"step 2: + geoprivacy != 'obscured'"
".. years 2019-2025 = ANALYSED",201,"step 3: + year in 2019:2025  (this is the set the models use)"
".. with a nearby radar station",187,"+ NEXRAD station < 200 km with a night-before traffic value"
"Identified to species",160,"of the analysed set: research-grade and named to species"
".. red + silver-haired bats",128,"of those: Lasiurus borealis + Lasionycteris noctivagans"
