"id","date","yday","species","plotGroup","locality","Status","Description Where Found","Notes","Building_side","paired"
1,2019-09-22,265,"Big brown","Big brown","Downtown","Alive","At foot of skyscraper","After rainstorm, dehydrated, ticks, injured.","S","N"
2,2019-10-16,289,"Evening","Evening","Downtown","Alive","On sidewalk between building and road","45F","N","Y"
3,2019-10-16,289,"Vespertilionidae","Others","Downtown","Alive","On sidewalk between building and road","45F, found 10 ft from previous","N","Y"
4,2019-10-22,295,"Eastern Red","Eastern Red","Downtown","Alive","On ground at food of skyrise",NA,"W","N"
5,2019-10-27,300,"Big brown","Big brown","Downtown","Alive","On ground against wall","TA 40F","E","N"
6,2019-10-29,302,"Vespertilionidae","Others","Downtown","Alive","On ground against wall",NA,"W","N"
7,2019-11-01,305,"Eastern Red","Eastern Red","Downtown","Alive","Base of building on ground","TA 34F","E","N"
8,2019-11-07,311,"Eastern Red","Eastern Red","Downtown","Alive","On sidewalk at base of building","TA 30F","N","N"
9,2019-11-07,311,"Evening","Evening","2345 Grand","Alive","On ground in corner","TA 30F","N","N"
10,2019-11-10,314,"Big brown","Big brown","Downtown","Alive","On sidewalk at base of building",NA,"W","N"
11,2019-11-22,326,"Big brown","Big brown","Downtown","Alive","On ground in corner","18 grams, TA 30F","S","N"
12,2019-11-22,326,"Big brown","Big brown","1111 Main","Alive","On ground in corner","TA 30F","E","N"
13,2019-11-29,333,"Big brown","Big brown","1100 Main","Alive","In window crack <1ft off ground",NA,"W","N"
14,2020-04-04,95,"Eastern Red","Eastern Red","Downtown","Alive","On ground in corner",NA,"E","N"
15,2020-04-17,108,"Big brown","Big brown","900 Main","Alive","Clinging to trash can on sidewalk","Ambient T 40F, relocated","W","N"
16,2020-09-28,272,"Big brown","Big brown","1201 Walnut","Alive","On sidewalk","Within 10 ft of below, overnight T 50F","W","N"
17,2020-09-28,272,"Evening","Evening","1201 Walnut","Alive","On ground in corner",NA,"W","N"
18,2020-09-29,273,"Evening","Evening","Downtown KC","Alive","On ground against wall",NA,"E","Y"
19,2020-09-29,273,"Evening","Evening","Downtown KC","Alive","On ground against wall","Found within 10ft of previous","E","Y"
20,2020-10-01,275,"Evening","Evening","Downtown KC","Alive","On sidewalk ~1ft from wall",NA,"N","N"
21,2020-10-01,275,"Evening","Evening","1111 Main","Alive","On ground ~2ft from pillar",NA,"N","N"
22,2020-10-04,278,"Big brown","Big brown","Downtown KC","Alive","On ground inches from column",NA,"E","N"
23,2020-10-04,278,"Big brown","Big brown","Downtown KC","Alive","At edge of curb for several days",NA,"N","N"
24,2020-10-15,289,"Vespertilionidae","Others","Downtown KC","Dead","On ground <2ft from wall",NA,"E","N"
25,2020-10-15,289,"Evening","Evening","Downtown KC","Alive","On ground inches from wall","52F","E","N"
26,2020-10-16,290,"Evening","Evening","Downtown KC","Alive","On ground against pillar","43F","N","N"
27,2020-10-26,300,"Eastern Red","Eastern Red","Downtown KC","Alive","On ground ~2ft from wall","34F","E","N"
28,2020-11-01,306,"Big brown","Big brown","Downtown KC","Alive","On ground in corner","52F overnight 37F, 21 g, not injured","E","Y"
29,2020-11-01,306,"Big brown","Big brown","Downtown KC","Alive","On ground against wall","26 g, not injured, found 15 ft from previous bat","E","Y"
30,2020-11-13,318,"Big brown","Big brown","200 W 13th St","Alive","On ground against wall","18 g, TA <30 F","S","N"
31,2020-11-13,318,"Evening","Evening","1111 Main","Alive","On ground against column","15 g, TA < 30F","E","N"
32,2020-11-15,320,"Big brown","Big brown","Downtown KC","Dead","On ground near bench","Bloody nose and mouth, TA 45F","N","N"
